time,S,X
0,5,3
1,4.46141631691189,3.53858368308811
2,3.84261332593586,4.15738667406414
3,3.14289061625796,4.85710938374204
4,2.37594976986486,5.62405023013514
5,1.57954761345629,6.42045238654371
6,0.845194818973464,7.15480518102654
7,0.322120517495267,7.67787948250473
8,0.0854490486276682,7.91455095137233
9,0.0185997662451996,7.9814002337548
10,0.00382010745482495,7.99617989254518
11,0.000774250496374102,7.99922574950363
12,0.000156419800426661,7.99984358019957
13,3.16824683874263e-05,7.99996831753161
14,6.35944157640255e-06,7.99999364055842
15,1.27055088215539e-06,7.99999872944912
16,3.07768676535223e-07,7.99999969223132
17,5.7131268382254e-08,7.99999994286873
18,-5.85299656492002e-08,8.00000005852996
19,2.34229807655101e-08,7.99999997657702
20,-2.18204747692152e-07,8.00000021820475
21,-4.86440220827401e-07,8.00000048644022
22,6.18378112273794e-07,7.99999938162189
23,-1.34190872129585e-07,8.00000013419087
24,2.85339667163996e-07,7.99999971466033
25,-6.73919378158444e-08,8.00000006739194
26,8.80171589221565e-08,7.99999991198284
27,-1.90380926552176e-07,8.00000019038093
28,2.21091621825037e-07,7.99999977890838
29,-9.09982553983416e-08,8.00000009099826
30,1.25986623063838e-07,7.99999987401338
